author,journal,year,title,filename,translator,type,month,publication,notes
A.J. Russell,adapt,1914,"""Hidden Builders""",70.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Hoarded Love""",71.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Love Reflected""",72.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Heredity""",73.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Coming Generations""",74.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Desire for Children""",75.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Waters of Bitterness""",76.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Passing Generations""",77.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""The Flow of Time""",78.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""The House of Quietness""",79.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""Opened Windows""",80.txt,,tanka,April,Poetry: A Magazine of Verse,
A.J. Russell,adapt,1914,"""The Time of Blossom""",81.txt,,tanka,April,Poetry: A Magazine of Verse,
Adelaide Crapsey,adapt,1915,"""On Seeing Weather-Beaten Trees""",613.txt,,,,Verse,Modern American Poetry (1919)
Adelaide Crapsey,adapt,1916,"""Trapped",514.txt,,x,March,Others,
Adelaide Crapsey,adapt,1916,"""Triad""",599.txt,,,February,Others,
Adelaide Crapsey,adapt,1916,"""The Warning""",600.txt,,,March,Others,
Adelaide Crapsey,adapt,1916,"""November Night""",612.txt,,,March,Others,
Adelaide Crapsey,adapt,1916,"""Fate Defied""",614.txt,,,March,Others,Verse (1915); Taketomo's Essay (1920)
Alice Corbin Henderson,adapt,1916,"""Apparitions II""",616.txt,,,January,Poetry: A Magazine of Verse,Taketomo's Essay (1920)
Amy Lowell,adapt,1919,"""Streets""",118.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""By Messenger""",119.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Circumstance?",120.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Angles""",121.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Vicarious""",122.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Near Kioto""",123.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Desolation""",124.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Yoshiwara Lament""",125.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Sunshine""",126.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Illusion""",127.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Year Passes""",128.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Lover""",129.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""To A Husband""",130.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Fisherman's Wife""",131.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""From China""",132.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Pond""",133.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Autumn""",134.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Ephemera""",135.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Document""",136.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Emperor's Garden""",137.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""One of the 'Hundred Views of Fuji' By Hokusai",138.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Disillusion""",139.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Paper Fishes""",140.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Meditation""",141.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Camellia Tree of Matsue""",142.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Superstition""",143.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Return""",144.txt,,tanka,,Pictures of the Floating World,
